,F1,AUC,H-measure,KS_score,Brier_score,Log_loss
n_estimators,100,10,100,50,100,100
criterion,entropy,gini,gini,entropy,entropy,gini
max_depth,50,50,100,,,100
min_samples_split,2,2,2,2,10,10
min_samples_leaf,1,1,1,1,1,1
