,F1,AUC,H-measure,KS_score,Brier_score,Log_loss
learning_rate,0.5,0.5,0.1,0.3,0.1,0.1
max_depth,5.0,5.0,5.0,5.0,5.0,5.0
min_samples_leaf,1.0,1.0,2.0,3.0,2.0,2.0
min_samples_split,8.0,8.0,2.0,6.0,2.0,2.0
n_estimators,100.0,100.0,100.0,100.0,100.0,100.0
