,F1,AUC,H-measure,KS_score,Brier_score,Log_loss
n_estimators,100.0,100.0,100.0,100.0,100.0,100.0
learning_rate,0.9,0.9,0.9,0.9,0.9,0.9
max_depth,6.0,6.0,6.0,6.0,6.0,6.0
