,F1,AUC,H-measure,KS_score,Brier_score,Log_loss
C,0.1,0.1,0.3,0.7,0.3,0.3
l1_ratio,0.1,0.1,0.5,0.1,0.5,0.5
max_iter,100.0,100.0,100.0,100.0,500.0,500.0
