,F1,AUC,H-measure,KS_score,Brier_score,Log_loss
n_estimators,100.0,100.0,100.0,100.0,100.0,100.0
learning_rate,0.5,0.5,0.3,0.3,0.3,0.3
min_samples_split,2.0,2.0,4.0,6.0,4.0,4.0
min_samples_leaf,1.0,1.0,1.0,1.0,5.0,5.0
max_depth,5.0,5.0,5.0,5.0,5.0,5.0
