,F1,AUC,H-measure,KS_score,Brier_score,Log_loss
activation,tanh,tanh,tanh,logistic,logistic,logistic
alpha,0.0001,0.0001,0.0001,0.0001,0.01,0.01
hidden_layer_sizes,24,24,24,26,23,25
learning_rate_init,0.01,0.01,0.01,0.01,0.1,0.001
