,F1,AUC,H-measure,KS_score,Brier_score,Log_loss
max_iter,1000.0,1000.0,100.0,500.0,100,100
C,0.1,0.1,0.1,0.5,1,1
l1_ratio,0.3,0.3,0.7,1.0,1,1
